,company,seller_type,year,seats,index,name,number_sold,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,km_distances,binned_engine,co_cc,_num_sales,Diesel,petrol,firstowner,secondowner,others,_company,_seats_in_year,avg_sellertype
1354,Maruti,Individual,2015,5.0,1354,Maruti Swift Dzire ZDI,22,-0.08658981620285877,57000,Diesel,1,Second Owner,26.59,1248.0,74.0,0.16133477602342539,3,35091.0,181,1.0,0.0,0.0,1.0,0.0,20,156,-0.35797528539639534
1355,Maruti,Individual,2005,5.0,1355,Maruti Wagon R LXI,46,-0.6969754986182903,188000,Petrol,1,others,18.9,998.0,67.1,0.6783098756718344,4,35091.0,35,0.0,1.0,0.0,0.0,1.0,20,26,-0.35797528539639534
1356,Hyundai,Individual,2017,5.0,1356,Hyundai Grand i10 1.2 Kappa Magna BSIV,5,-0.21350169076448317,30000,Petrol,1,First Owner,18.9,1197.0,81.86,-0.5703787972979606,3,15548.0,162,0.0,1.0,1.0,0.0,0.0,11,162,-0.26450256908028097
1357,Toyota,Individual,2009,8.0,1357,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,6,-0.1409806195864121,285000,Diesel,1,others,12.8,2494.0,102.0,2.2005675399319333,1,5059.0,9,1.0,0.0,0.0,0.0,1.0,28,4,0.2993815531042407
1358,Ford,Dealer,2014,5.0,1358,Ford Ecosport 1.5 DV5 MT Titanium,3,0.12492997473318185,101504,Diesel,1,First Owner,22.7,1498.0,89.84,0.5941346348235325,3,3659.0,15,1.0,0.0,1.0,0.0,0.0,9,14,-0.12725770458060498
1359,Maruti,Individual,2007,5.0,1359,Maruti Wagon R LX Minor,3,-0.6304978500383919,100000,Petrol,1,others,18.9,1061.0,67.0,0.6728529740153153,3,35091.0,50,0.0,1.0,0.0,0.0,1.0,20,39,-0.35797528539639534
1360,Jeep,Individual,2018,5.0,1360,Jeep Compass 2.0 Limited,3,1.3420752860051413,24000,Diesel,1,First Owner,17.1,1956.0,170.0,-0.3103890586141984,1,18.0,4,1.0,0.0,1.0,0.0,0.0,14,4,1.9907182718328644
1361,Lexus,Dealer,2019,5.0,1361,Lexus ES 300h,32,5.44314186112506,20000,Petrol,0,First Owner,22.37,2487.0,214.56,-1.798088158141012,1,0.0,32,0.0,1.0,1.0,0.0,0.0,17,32,6.124801665148368
1362,Nissan,Individual,2014,5.0,1362,Nissan Sunny XL,4,-0.11680692919372172,37000,Petrol,1,First Owner,16.95,1498.0,97.7,0.3301657811722676,3,213.0,14,0.0,1.0,1.0,0.0,0.0,23,14,-0.24204475758112015
1363,Tata,Individual,2010,5.0,1363,Tata Indica Vista Terra 1.4 TDI,6,-0.5761070466548385,110000,Diesel,1,Second Owner,17.0,1405.0,71.0,0.9268121985956279,3,8081.0,41,1.0,0.0,0.0,1.0,0.0,27,32,-0.4038951134633411
1364,Maruti,Individual,2009,5.0,1364,Maruti Swift Vdi BSIII,16,-0.4105172674649096,100000,Diesel,1,Second Owner,17.8,1248.0,75.0,0.7881764322514496,3,35091.0,80,1.0,0.0,0.0,1.0,0.0,20,70,-0.35797528539639534
1365,Tata,Individual,2014,5.0,1365,Tata Indica Vista Safire GLX,1,-0.5277596658694578,35000,Petrol,1,Second Owner,16.7,1172.0,64.1,0.820356736646917,3,8081.0,30,0.0,1.0,0.0,1.0,0.0,27,20,-0.4038951134633411
1366,Maruti,Dealer,2019,5.0,1366,Maruti Ciaz Delta Automatic BSIV,1,0.4573182176326743,15000,Petrol,0,First Owner,20.28,1462.0,103.25,-2.4232097951741567,3,35091.0,106,0.0,1.0,1.0,0.0,0.0,20,99,-0.11139741215452358
1367,Mercedes-Benz,Dealer,2013,5.0,1367,Mercedes-Benz New C-Class 220 CDI AT,3,0.9407920254864814,59000,Diesel,0,First Owner,14.84,2143.0,170.0,-0.0968917099691048,1,355.0,4,1.0,0.0,1.0,0.0,0.0,21,4,3.4624038132548263
1368,Honda,Individual,2019,5.0,1368,Honda City i-VTEC CVT ZX,4,0.7014724905988469,5000,Petrol,0,First Owner,18.0,1497.0,117.6,-2.688838416792362,3,3884.0,44,0.0,1.0,1.0,0.0,0.0,10,44,-0.11712715449401692
1369,Hyundai,Individual,2017,5.0,1369,Hyundai Creta 1.6 CRDi SX Option,12,0.5600564018016083,186000,Diesel,1,First Owner,19.67,1582.0,126.2,-0.5703787972979606,2,15548.0,162,1.0,0.0,1.0,0.0,0.0,11,162,-0.26450256908028097
1370,Hyundai,Individual,2014,5.0,1370,Hyundai Xcent 1.2 Kappa S Option,3,-0.1772411551754476,65000,Petrol,1,First Owner,19.1,1197.0,81.86,0.07240645528800403,3,15548.0,104,0.0,1.0,1.0,0.0,0.0,11,103,-0.26450256908028097
1371,Renault,Individual,2018,5.0,1371,Renault KWID RXT Optional,14,-0.3706306783169705,10000,Petrol,1,First Owner,25.17,799.0,53.3,-1.367343134302295,4,922.0,30,0.0,1.0,1.0,0.0,0.0,25,30,-0.2859515383770954
1372,Maruti,Individual,2016,5.0,1372,Maruti Omni MPI STD BSIV,3,-0.49149913028042225,40000,Petrol,1,First Owner,16.8,796.0,34.2,-0.06351717045580828,4,35091.0,185,0.0,1.0,1.0,0.0,0.0,20,159,-0.35797528539639534
1373,Hyundai,Individual,2017,5.0,1373,Hyundai EON Magna Plus,25,-0.3706306783169705,30000,Petrol,1,First Owner,21.1,814.0,55.2,-0.5703787972979606,4,15548.0,162,0.0,1.0,1.0,0.0,0.0,11,162,-0.26450256908028097
1374,Maruti,Individual,2007,5.0,1374,Maruti Zen Estilo 1.1 LX BSIII,2,-0.6969754986182903,80000,Petrol,1,Second Owner,18.2,1061.0,64.0,0.44369679349414215,3,35091.0,50,0.0,1.0,0.0,1.0,0.0,20,39,-0.35797528539639534
1375,BMW,Dealer,2019,5.0,1375,BMW X4 M Sport X xDrive20d,56,5.866181442997141,8500,Diesel,0,First Owner,16.78,1995.0,190.0,-3.251770794237543,1,982.0,58,1.0,0.0,1.0,0.0,0.0,3,58,5.727509713930722
1376,Renault,Individual,2016,5.0,1376,Renault Duster 110PS Diesel RxL,10,-0.11680692919372172,80000,Diesel,1,Second Owner,19.64,1461.0,108.45,0.22888860630911048,3,922.0,41,1.0,0.0,0.0,1.0,0.0,25,40,-0.2859515383770954
1377,Honda,Individual,2016,5.0,1377,Honda Jazz 1.2 VX i VTEC,6,-0.20745826816631055,25000,Petrol,1,First Owner,18.7,1199.0,88.7,-0.17285381341267267,3,3884.0,61,0.0,1.0,1.0,0.0,0.0,10,55,-0.11712715449401692
1378,Maruti,Individual,2009,5.0,1378,Maruti Wagon R LXI Minor,21,-0.6425859039192566,60000,Petrol,1,others,18.9,1061.0,67.0,0.6403446562155862,3,35091.0,80,0.0,1.0,0.0,0.0,1.0,20,70,-0.35797528539639534
1379,Honda,Trustmark Dealer,2016,5.0,1379,Honda Jazz VX,25,-0.11680692919372172,56494,Petrol,1,First Owner,18.2,1199.0,88.7,-0.17285381341267267,3,3884.0,61,0.0,1.0,1.0,0.0,0.0,10,55,0.016199986239864732
1380,Toyota,Individual,2011,7.0,1380,Toyota Innova 2.5 EV Diesel PS 7 Seater BSIII,1,-0.3585438331206253,500000,Diesel,1,Second Owner,12.99,2494.0,100.57,2.134066569407991,1,5059.0,25,1.0,0.0,0.0,1.0,0.0,28,11,0.2993815531042407
1381,Hyundai,Individual,2018,5.0,1381,Hyundai i20 1.2 Spotz,7,-0.04428585801565065,15000,Petrol,1,First Owner,18.6,1197.0,81.83,-0.9662843039393365,3,15548.0,104,0.0,1.0,1.0,0.0,0.0,11,104,-0.26450256908028097
1382,Toyota,Individual,2005,5.0,1382,Toyota Corolla DX,1,-0.44919517209321413,96000,Petrol,1,Second Owner,13.4,1794.0,125.0,1.4022023331760958,2,5059.0,3,0.0,1.0,0.0,1.0,0.0,28,1,0.2993815531042407
1383,Ford,Individual,2015,5.0,1383,Ford EcoSport 1.5 TDCi Titanium BSIV,9,0.004061522769730063,110000,Diesel,1,Second Owner,22.77,1498.0,98.59,0.46531687936208693,3,3659.0,36,1.0,0.0,0.0,1.0,0.0,9,35,-0.1804388998962062
1384,Jaguar,Dealer,2017,5.0,1384,Jaguar XF 2.0 Diesel Portfolio,29,3.0862070478377506,45000,Diesel,0,First Owner,19.33,1999.0,177.0,-1.183774673730422,1,214.0,52,1.0,0.0,1.0,0.0,0.0,13,52,3.160543383959967
1385,Chevrolet,Individual,2013,5.0,1385,Chevrolet Beat Diesel LT,15,-0.4189780591023512,50000,Diesel,1,First Owner,25.44,936.0,57.6,0.20103297644201484,4,1317.0,30,1.0,0.0,1.0,0.0,0.0,4,20,-0.5092084317550766
1386,Toyota,Trustmark Dealer,2013,7.0,1386,Toyota Innova 2.5 VX (Diesel) 7 Seater,33,0.12492997473318185,79328,Diesel,1,Second Owner,12.99,2494.0,100.6,0.8570798610821967,1,5059.0,49,1.0,0.0,0.0,1.0,0.0,28,32,0.6960713155977802
1387,Toyota,Individual,2012,7.0,1387,Toyota Innova 2.5 G (Diesel) 7 Seater,12,0.1007562843404915,250000,Diesel,1,First Owner,12.99,2494.0,100.0,1.265528770176239,1,5059.0,40,1.0,0.0,1.0,0.0,0.0,28,9,0.2993815531042407
1388,Maruti,Individual,2010,5.0,1388,Maruti Alto LX,36,-0.6304978500383919,120000,Petrol,1,others,19.7,796.0,46.3,0.9257739049243534,4,35091.0,111,0.0,1.0,0.0,0.0,1.0,20,93,-0.35797528539639534
1389,BMW,Individual,2012,5.0,1389,BMW 3 Series 320d Luxury Line,1,0.7897064605321666,140000,Diesel,0,Second Owner,18.88,1995.0,184.0,1.1122210459706394,1,982.0,4,1.0,0.0,0.0,1.0,0.0,3,3,1.999312279232422
1390,Volvo,Dealer,2018,5.0,1390,Volvo V40 D3 R-Design,25,2.209910771102725,2000,Diesel,0,First Owner,16.8,1984.0,150.0,-4.240071511445021,1,299.0,27,1.0,0.0,1.0,0.0,0.0,30,27,2.5068129576585902
1391,Honda,Individual,2018,5.0,1391,Honda WR-V i-DTEC VX,7,0.30623265267835953,30000,Diesel,1,First Owner,25.5,1498.0,98.6,-1.2220710334911686,3,3884.0,22,1.0,0.0,1.0,0.0,0.0,10,22,-0.11712715449401692
1392,Mahindra,Individual,2012,7.0,1392,Mahindra Bolero 2011-2019 SLX,18,-0.27393591674620904,50000,Diesel,1,First Owner,15.96,2523.0,62.1,1.5998610600971064,1,18820.0,58,1.0,0.0,1.0,0.0,0.0,19,29,-0.049666327583259055
1393,Toyota,Individual,2012,5.0,1393,Toyota Etios Liva GD,10,-0.2981096071388994,107500,Diesel,1,Second Owner,15.386829971181557,2494.0,114.72867435158503,1.1066477595294364,1,5059.0,40,1.0,0.0,0.0,1.0,0.0,28,24,0.2993815531042407
1394,Maruti,Individual,2020,5.0,1394,Maruti Eeco 5 Seater AC BSIV,19,-0.27997933934438163,15000,Petrol,1,First Owner,15.37,1196.0,73.0,-2.701783016928503,3,35091.0,22,0.0,1.0,1.0,0.0,0.0,20,22,-0.35797528539639534
1395,Maruti,Individual,2015,5.0,1395,Maruti Celerio LDi,2,-0.2981096071388994,95000,Diesel,1,First Owner,27.62,793.0,47.0,-0.05154252201296965,4,35091.0,181,1.0,0.0,1.0,0.0,0.0,20,156,-0.35797528539639534
1396,Mahindra,Individual,2019,5.0,1396,Mahindra XUV300 W6 Diesel BSIV,1,0.3666668786600854,17000,Diesel,1,First Owner,20.0,1497.0,115.0,-1.5854894399954755,3,18820.0,32,1.0,0.0,1.0,0.0,0.0,19,8,-0.049666327583259055
1397,Honda,Individual,2016,7.0,1397,Honda BR-V i-DTEC S MT,1,0.30623265267835953,92000,Diesel,1,First Owner,21.9,1498.0,98.6,-0.17285381341267267,3,3884.0,61,1.0,0.0,1.0,0.0,0.0,10,6,-0.11712715449401692
1398,Ford,Individual,2011,5.0,1398,Ford Figo Diesel LXI,5,-0.5217162432712852,120000,Diesel,1,First Owner,20.0,1399.0,68.0,0.3504849768273123,3,3659.0,43,1.0,0.0,1.0,0.0,0.0,9,38,-0.1804388998962062
1399,Renault,Individual,2016,5.0,1399,Renault KWID RXT,30,-0.406891213906006,27500,Petrol,1,First Owner,25.17,799.0,53.3,-0.5347900812166533,4,922.0,41,0.0,1.0,1.0,0.0,0.0,25,40,-0.2859515383770954
1400,Hyundai,Individual,2006,7.0,1400,Hyundai Santro GLS I - Euro II,3,-0.612367582243874,100000,Petrol,1,Second Owner,19.921239592969474,1197.0,87.51074005550417,0.7424158414465294,3,15548.0,17,0.0,1.0,0.0,1.0,0.0,11,9,-0.26450256908028097
1401,Honda,Individual,2015,5.0,1401,Honda City i DTEC VX,9,0.13701681992952702,70000,Diesel,1,others,25.1,1498.0,98.6,0.25846808050697156,3,3884.0,57,1.0,0.0,0.0,0.0,1.0,10,48,-0.11712715449401692
1402,Chevrolet,Individual,2010,5.0,1402,Chevrolet Beat LT,15,-0.6002807370475288,68000,Petrol,1,others,18.6,1199.0,79.4,1.5052262006334385,3,1317.0,22,0.0,1.0,0.0,0.0,1.0,4,18,-0.5092084317550766
1403,Mahindra,Individual,2014,7.0,1403,Mahindra Scorpio S4 7 Seater,1,0.004061522769730063,70000,Diesel,1,First Owner,15.4,2179.0,120.0,0.7837793988306828,1,18820.0,71,1.0,0.0,1.0,0.0,0.0,19,44,-0.049666327583259055
1404,Hyundai,Dealer,2016,5.0,1404,Hyundai Creta 1.6 CRDi Anniversary Edition,3,0.20953668242307846,39000,Diesel,1,First Owner,19.67,1582.0,126.2,-0.07320221635043335,2,15548.0,118,1.0,0.0,1.0,0.0,0.0,11,118,-0.10855554250842206
1405,Hyundai,Individual,2019,5.0,1405,Hyundai Creta 1.4 E Plus,2,0.41501425944546616,19600,Diesel,1,First Owner,22.1,1396.0,88.7,-1.8779511878492237,3,15548.0,68,1.0,0.0,1.0,0.0,0.0,11,68,-0.26450256908028097
1406,Renault,Individual,2017,5.0,1406,Renault KWID RXT,30,-0.4552385946913867,50000,Petrol,1,First Owner,25.17,799.0,53.3,-0.466126140146685,4,922.0,33,0.0,1.0,1.0,0.0,0.0,25,28,-0.2859515383770954
1407,Volvo,Dealer,2018,5.0,1407,Volvo V40 D3 R-Design,25,2.209910771102725,2000,Diesel,0,First Owner,16.8,1984.0,150.0,-4.240071511445021,1,299.0,27,1.0,0.0,1.0,0.0,0.0,30,27,2.5068129576585902
1408,Maruti,Individual,2016,5.0,1408,Maruti Alto K10 VXI,45,-0.4129346365041786,40000,Petrol,1,First Owner,23.95,998.0,67.05,-0.06351717045580828,4,35091.0,185,0.0,1.0,1.0,0.0,0.0,20,159,-0.35797528539639534
1409,Maruti,Individual,2014,7.0,1409,Maruti Ertiga VXI,9,-0.26789249414803645,80000,Petrol,1,others,16.02,1373.0,93.7,0.8472714731019076,3,35091.0,134,0.0,1.0,0.0,0.0,1.0,20,18,-0.35797528539639534
1410,Hyundai,Dealer,2017,5.0,1410,Hyundai Grand i10 1.2 CRDi Sportz,30,-0.23767538115717352,56290,Diesel,1,First Owner,24.0,1186.0,73.97,-0.5703787972979606,3,15548.0,162,1.0,0.0,1.0,0.0,0.0,11,162,-0.10855554250842206
1411,Maruti,Individual,2017,5.0,1411,Maruti Eeco 5 Seater AC BSIV,19,-0.31019645233524457,70000,Petrol,1,First Owner,15.37,1196.0,73.0,-0.3806707764355942,3,35091.0,227,0.0,1.0,1.0,0.0,0.0,20,206,-0.35797528539639534
1412,Maruti,Individual,2009,5.0,1412,Maruti Wagon R LXI Minor,21,-0.5156728206731126,120000,Petrol,1,First Owner,18.9,1061.0,67.0,0.4383439500218029,3,35091.0,80,0.0,1.0,1.0,0.0,0.0,20,70,-0.35797528539639534
1413,Hyundai,Individual,2014,5.0,1413,Hyundai EON 1.0 Kappa Magna Plus,1,-0.5156728206731126,10000,Petrol,1,First Owner,20.3,998.0,68.05,0.07240645528800403,4,15548.0,104,0.0,1.0,1.0,0.0,0.0,11,103,-0.26450256908028097
1414,Renault,Individual,2016,5.0,1414,Renault Duster Adventure Edition RXZ AWD,1,0.004061522769730063,80000,Diesel,1,First Owner,19.72,1461.0,108.45,-0.5347900812166533,3,922.0,41,1.0,0.0,1.0,0.0,0.0,25,40,-0.2859515383770954
1415,Maruti,Individual,2018,5.0,1415,Maruti Baleno Delta 1.2,15,-0.11680692919372172,10000,Petrol,1,First Owner,21.4,1197.0,83.1,-0.7529080876777112,3,35091.0,221,0.0,1.0,1.0,0.0,0.0,20,208,-0.35797528539639534
1416,Maruti,Dealer,2011,5.0,1416,Maruti Swift LXI,5,-0.4467778030539451,55403,Petrol,1,First Owner,18.6,1197.0,85.8,0.30327058738097445,3,35091.0,108,0.0,1.0,1.0,0.0,0.0,20,94,-0.11139741215452358
1417,Tata,Individual,2011,5.0,1417,Tata Indigo LS,5,-0.5700636240566659,85700,Diesel,1,Second Owner,17.0,1405.0,70.0,0.7512367732346976,3,8081.0,71,1.0,0.0,0.0,1.0,0.0,27,52,-0.4038951134633411
1418,Volkswagen,Individual,2016,5.0,1418,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,4,-0.1288937743900669,40000,Diesel,1,First Owner,22.0,1498.0,108.495,-0.0903528442179667,3,599.0,13,1.0,0.0,1.0,0.0,0.0,29,13,-0.23759579783563023
1419,Hyundai,Individual,2014,5.0,1419,Hyundai i10 Sportz,19,-0.43106490429869637,31000,Petrol,1,First Owner,20.36,1197.0,78.9,0.07240645528800403,3,15548.0,104,0.0,1.0,1.0,0.0,0.0,11,103,-0.26450256908028097
1420,Maruti,Individual,2014,5.0,1420,Maruti Alto K10 VXI,45,-0.5156728206731126,100000,Petrol,1,First Owner,23.95,998.0,67.05,0.044502470454782686,4,35091.0,134,0.0,1.0,1.0,0.0,0.0,20,114,-0.35797528539639534
1421,Maruti,Individual,2005,5.0,1421,Maruti Wagon R LXI,46,-0.6740104927452345,90000,Petrol,1,Second Owner,18.9,998.0,67.1,0.6786407482867728,4,35091.0,35,0.0,1.0,0.0,1.0,0.0,20,26,-0.35797528539639534
1422,Maruti,Individual,2002,5.0,1422,Maruti Zen Base,1,-0.7030189212164629,80000,Petrol,1,Second Owner,17.3,993.0,60.0,0.29432117323698254,4,35091.0,15,0.0,1.0,0.0,1.0,0.0,20,8,-0.35797528539639534
1423,Lexus,Dealer,2019,5.0,1423,Lexus ES 300h,32,5.44314186112506,20000,Petrol,0,First Owner,22.37,2487.0,214.56,-1.798088158141012,1,0.0,32,0.0,1.0,1.0,0.0,0.0,17,32,6.124801665148368
1424,Tata,Individual,2012,5.0,1424,Tata Indigo eCS LS TDI BSIII,2,-0.5906112608904527,110000,Diesel,1,Second Owner,19.09,1396.0,69.0,1.086635144073573,3,8081.0,68,1.0,0.0,0.0,1.0,0.0,27,46,-0.4038951134633411
1425,Mahindra,Individual,2016,7.0,1425,Mahindra XUV500 AT W6 2WD,3,0.3666668786600854,75000,Diesel,0,others,16.0,2179.0,140.0,0.3831212281241089,1,18820.0,71,1.0,0.0,0.0,0.0,1.0,19,46,-0.049666327583259055
1426,Ford,Individual,2012,7.0,1426,Ford Endeavour 2.5L 4X2 MT,4,-0.1155982446740872,170000,Diesel,1,First Owner,13.1,2499.0,141.0,0.8885769769703085,1,3659.0,32,1.0,0.0,1.0,0.0,0.0,9,2,-0.1804388998962062
1427,Mahindra,Individual,2012,7.0,1427,Mahindra XUV500 W8 4WD,15,0.30623265267835953,100000,Diesel,1,First Owner,15.1,2179.0,140.0,1.5998610600971064,1,18820.0,58,1.0,0.0,1.0,0.0,0.0,19,29,-0.049666327583259055
1428,Toyota,Individual,2012,8.0,1428,Toyota Innova 2.5 GX 8 STR,3,-0.04428585801565065,90000,Diesel,1,First Owner,12.8,2494.0,102.0,1.265528770176239,1,5059.0,40,1.0,0.0,1.0,0.0,0.0,28,6,0.2993815531042407
1429,Toyota,Trustmark Dealer,2017,5.0,1429,Toyota Etios VX,27,-0.026155590221132882,25538,Petrol,1,First Owner,16.78,1496.0,88.73,-0.6241013975293378,3,5059.0,44,0.0,1.0,1.0,0.0,0.0,28,32,0.6960713155977802
1430,Volkswagen,Individual,2015,5.0,1430,Volkswagen Polo 1.5 TDI Highline,4,-0.11680692919372172,90000,Diesel,1,First Owner,20.14,1498.0,88.8,-0.046199095199595794,3,599.0,9,1.0,0.0,1.0,0.0,0.0,29,9,-0.23759579783563023
1431,Maruti,Dealer,2016,5.0,1431,Maruti Baleno Delta Diesel,1,-0.014068745024787704,52000,Diesel,1,First Owner,27.39,1248.0,74.0,-0.06351717045580828,3,35091.0,185,1.0,0.0,1.0,0.0,0.0,20,159,-0.11139741215452358
1432,Mahindra,Individual,2014,5.0,1432,Mahindra Verito Vibe 1.5 dCi D4,2,-0.3585438331206253,110000,Diesel,1,Second Owner,20.8,1461.0,64.1,0.6550769903709933,3,18820.0,71,1.0,0.0,0.0,1.0,0.0,19,4,-0.049666327583259055
1433,Maruti,Individual,2014,5.0,1433,Maruti Swift Dzire VXI,32,-0.2981096071388994,70000,Petrol,1,Second Owner,19.1,1197.0,85.8,0.3310218442837949,3,35091.0,134,0.0,1.0,0.0,1.0,0.0,20,114,-0.35797528539639534
1434,Honda,Individual,2005,5.0,1434,Honda City 1.5 EXI,1,-0.6909320760201177,120000,Petrol,1,First Owner,13.0,1493.0,100.0,1.1432935774823325,3,3884.0,5,0.0,1.0,1.0,0.0,0.0,10,4,-0.11712715449401692
1435,Maruti,Individual,2018,5.0,1435,Maruti Swift Dzire LXI 1.2 BS IV,1,-0.11680692919372172,5000,Petrol,1,First Owner,22.0,1197.0,81.8,-0.7529080876777112,3,35091.0,221,0.0,1.0,1.0,0.0,0.0,20,208,-0.35797528539639534
1436,Maruti,Individual,2015,5.0,1436,Maruti Swift Dzire ZDI,22,-0.038242435417478064,32000,Diesel,1,First Owner,26.59,1248.0,74.0,-0.05154252201296965,3,35091.0,181,1.0,0.0,1.0,0.0,0.0,20,156,-0.35797528539639534
1437,Maruti,Individual,2013,5.0,1437,Maruti Ritz LDi,9,-0.48545570768224966,80000,Diesel,1,First Owner,23.2,1248.0,73.94,0.29817717426724394,3,35091.0,152,1.0,0.0,1.0,0.0,0.0,20,124,-0.35797528539639534
1438,Hyundai,Individual,2011,5.0,1438,Hyundai i10 Magna,23,-0.5519333562621481,110000,Petrol,1,others,20.36,1197.0,78.9,0.7894699348523209,3,15548.0,72,0.0,1.0,0.0,0.0,1.0,11,70,-0.26450256908028097
1439,Maruti,Individual,2015,5.0,1439,Maruti Swift Dzire LDI Optional,2,-0.22558974464534798,80000,Diesel,1,First Owner,26.59,1248.0,74.0,-0.05154252201296965,3,35091.0,181,1.0,0.0,1.0,0.0,0.0,20,156,-0.35797528539639534
1440,Mahindra,Individual,2011,7.0,1440,Mahindra Xylo E4,3,-0.6002807370475288,130000,Diesel,1,Second Owner,14.0,2498.0,112.0,0.9654170540002951,1,18820.0,57,1.0,0.0,0.0,1.0,0.0,19,25,-0.049666327583259055
1441,Mitsubishi,Individual,1999,5.0,1441,Mitsubishi Lancer 2.0 GLd,3,-0.6002807370475288,198000,Diesel,1,Second Owner,14.8,1998.0,68.0,1.9653745045343984,1,110.0,3,1.0,0.0,0.0,1.0,0.0,22,3,0.0731909360677699
1442,Hyundai,Individual,2012,5.0,1442,Hyundai EON Era,7,-0.5519333562621481,100000,Petrol,1,First Owner,21.1,814.0,55.2,0.27548728041574055,4,15548.0,87,0.0,1.0,1.0,0.0,0.0,11,87,-0.26450256908028097
1443,Hyundai,Individual,2001,7.0,1443,Hyundai Santro LE,2,-0.7405086889619668,80000,Petrol,1,Second Owner,19.921239592969474,1197.0,87.51074005550417,0.3422810863708612,3,15548.0,3,0.0,1.0,0.0,1.0,0.0,11,3,-0.26450256908028097
1444,Honda,Individual,2017,5.0,1444,Honda Jazz 1.5 S i DTEC,2,0.02823521316242042,50000,Diesel,1,First Owner,27.3,1498.0,98.6,-0.44273254315628324,3,3884.0,56,1.0,0.0,1.0,0.0,0.0,10,50,-0.11712715449401692
1445,Maruti,Trustmark Dealer,2017,5.0,1445,Maruti Baleno Delta,4,-0.09263323880103137,25272,Petrol,1,First Owner,21.01,1197.0,81.8,-0.3806707764355942,3,35091.0,227,0.0,1.0,1.0,0.0,0.0,20,206,-0.25043948753767425
1446,Hyundai,Individual,2012,5.0,1446,Hyundai Verna 1.6 SX,27,-0.27393591674620904,100000,Diesel,1,Second Owner,22.32,1582.0,126.32,0.9196053121612364,2,15548.0,87,1.0,0.0,0.0,1.0,0.0,11,87,-0.26450256908028097
1447,Honda,Dealer,2018,5.0,1447,Honda City i VTEC VX,8,0.33644976566922247,28900,Petrol,1,First Owner,17.8,1497.0,117.3,-1.2220710334911686,3,3884.0,22,0.0,1.0,1.0,0.0,0.0,10,22,0.06345833595070623
1448,Ambassador,Individual,2008,5.0,1448,Ambassador Grand 2000 DSZ PW CL,1,-0.539846511065803,80000,Diesel,1,others,13.5,1995.0,52.0,0.47767540500758476,1,34.0,2,1.0,0.0,0.0,0.0,1.0,0,2,-0.7108169019769757
1449,Ford,Individual,2011,7.0,1449,Ford Endeavour 2.5L 4X2,3,0.24579842669663363,298000,Diesel,1,Second Owner,13.1,2499.0,141.0,0.9964030676898491,1,3659.0,43,1.0,0.0,0.0,1.0,0.0,9,5,-0.1804388998962062
1450,Tata,Individual,2011,5.0,1450,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,3,-0.6244544274402193,54000,Diesel,1,Second Owner,18.4,1248.0,75.0,0.7512367732346976,3,8081.0,71,1.0,0.0,0.0,1.0,0.0,27,52,-0.4038951134633411
1451,BMW,Dealer,2019,5.0,1451,BMW X4 M Sport X xDrive20d,56,5.74531299103369,7500,Diesel,0,First Owner,16.78,1995.0,190.0,-3.251770794237543,1,982.0,58,1.0,0.0,1.0,0.0,0.0,3,58,5.727509713930722
1452,Fiat,Individual,2013,5.0,1452,Fiat Grande Punto 1.3 Emotion (Diesel),4,-0.4189780591023512,133000,Diesel,1,First Owner,20.3,1248.0,75.0,0.49604047861902445,3,305.0,6,1.0,0.0,1.0,0.0,0.0,7,6,-0.505449174858796
1453,Maruti,Dealer,2015,5.0,1453,Maruti Swift LDI,3,-0.1832845777736202,59292,Diesel,1,First Owner,28.4,1248.0,74.0,-0.05154252201296965,3,35091.0,181,1.0,0.0,1.0,0.0,0.0,20,156,-0.11139741215452358
1454,Volkswagen,Individual,2014,5.0,1454,Volkswagen Polo 1.5 TDI Highline,4,-0.30898776781561005,120000,Diesel,1,Second Owner,20.14,1498.0,88.8,0.4149308350842926,3,599.0,11,1.0,0.0,0.0,1.0,0.0,29,11,-0.23759579783563023
1455,Hyundai,Individual,2011,5.0,1455,Hyundai Verna 1.6 SX CRDi (O),20,-0.23767538115717352,128000,Diesel,1,Second Owner,22.32,1582.0,126.32,0.7056827886473652,2,15548.0,72,1.0,0.0,0.0,1.0,0.0,11,70,-0.26450256908028097
1456,Kia,Dealer,2020,5.0,1456,Kia Seltos HTX Plus AT D,3,1.5149171723128774,5000,Diesel,0,First Owner,17.8,1493.0,113.4,-4.073851721289606,3,2.0,2,1.0,0.0,1.0,0.0,0.0,15,2,1.704634465952712
1457,Toyota,Individual,2018,5.0,1457,Toyota Platinum Etios 1.4 GXD,5,0.16119051032221737,116000,Diesel,1,First Owner,23.59,1364.0,67.05,-0.5008867120775252,3,5059.0,26,1.0,0.0,1.0,0.0,0.0,28,13,0.2993815531042407
1458,Volkswagen,Individual,2013,5.0,1458,Volkswagen CrossPolo 1.5 TDI,2,-0.3585438331206253,70000,Diesel,1,Second Owner,20.14,1498.0,88.5,0.4542265024746976,3,599.0,15,1.0,0.0,0.0,1.0,0.0,29,15,-0.23759579783563023
